VAARWATER;BENAM_COD;BENAMING;S57_ID;INBEDRIJF;Y_RD;X_RD;OBJ_SOORT;IALA_CAT;N_WGS_gms;E_WGS_gms;N_WGS_gm;E_WGS_gm;Obj_vorm_c;OBJ_VORM;Obj_kleur_c;OBJ_KLEUR;Kleurpatr_c;KLEURPATR;V_TT_c;TT_TOPTEK;TT_kleur_c;TT_KLEUR;TT_pat_c;TT_KLR_PAT;Sign_kar_c;SIGN_KAR;Sign_gr_c;SIGN_GROEP;SIGN_PERIO;RACON_CODE;Licht_kl_c;LICHT_KLR;OPGEHEVEN;X_WGS84;Y_WGS84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AARDAPPELENGAT;VW-A    -0112;A 10;#;01.01.2005; 0,0000; 0,0000;SK42 500;4;51.47.38.11;004.08.19.29;51.47.6352;004.08.3215;5;spar;3;Rood;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;4,138692;51,793919;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AARDAPPELENGAT;VW-A    -0113;A 7;#;01.01.2005; 0,0000; 0,0000;SK41 500;4;51.47.38.44;004.07.37.29;51.47.6407;004.07.6215;5;spar;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;4,127025;51,794011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AARDAPPELENGAT;VW-A    -0114;A 8;#;01.01.2005; 0,0000; 0,0000;SK42 500;4;51.47.47.11;004.07.43.29;51.47.7852;004.07.7215;5;spar;3;Rood;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;4,128692;51,796419;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AARDAPPELENGAT;VW-A    -0115;A 5;#;01.01.2005; 0,0000; 0,0000;SK41 500;4;51.47.51.11;004.07.04.28;51.47.8518;004.07.0713;5;spar;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;4,117856;51,797531;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AARDAPPELENGAT;VW-A    -0116;A 6;#;01.01.2005; 0,0000; 0,0000;SK42 500;4;51.47.58.61;004.07.10.28;51.47.9768;004.07.1713;5;spar;3;Rood;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;4,119522;51,799614;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AARDAPPELENGAT;VW-A    -0117;A 3;#;01.01.2005; 0,0000; 0,0000;SK41 500;4;51.48.09.11;004.06.18.28;51.48.1518;004.06.3047;5;spar;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;4,105078;51,802531;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AARDAPPELENGAT;VW-A    -0118;A 4;#;01.01.2005; 0,0000; 0,0000;SK42 500;4;51.48.19.11;004.06.47.28;51.48.3185;004.06.7880;5;spar;3;Rood;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;4,113133;51,805308;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AARDAPPELENGAT;VW-A    -0119;A 1;#;01.01.2005; 0,0000; 0,0000;TK1200.1;4;51.48.30.11;004.05.35.28;51.48.5018;004.05.5880;1;spits;4;Groen;#;Niet toegewezen;1;Kegel, punt naar boven;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;4,093133;51,808364;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMER;VW-AM   -0101;A 1A;1006;01.01.2005; 415160,6089; 109327,2368;LK2600 MM.;2;51.43.23.95;004.43.34.28;51.43.3992;004.43.5713;1;spits;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;7;Iso (isophased);#;Niet toegewezen;4;#;4;Groen;#;4,726189;51,723319;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMER;VW-AM   -0102;A 3;1006;01.01.2005; 415341,0003; 109989,2080;LK2600 MM.;2;51.43.29.98;004.44.08.68;51.43.4997;004.44.1447;1;spits;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;7;Iso (isophased);#;Niet toegewezen;8;#;4;Groen;#;4,735744;51,724994;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMER;VW-AM   -0103;A 5;1006;01.01.2005; 0,0000; 0,0000;LK2600 MM.;2;51.43.30.35;004.44.57.49;51.43.5058;004.44.9582;1;spits;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;7;Iso (isophased);#;Niet toegewezen;4;#;4;Groen;#;4,749303;51,725097;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMER;VW-AM   -0104;A 7;1006;01.01.2005; 0,0000; 0,0000;LK2600 MM.;2;51.43.23.20;004.45.42.10;51.43.3867;004.45.7017;1;spits;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;7;Iso (isophased);#;Niet toegewezen;8;#;4;Groen;#;4,761694;51,723111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMER;VW-AM   -0105;A 1;#;21.01.2014; 414773,1591; 108027,3147;TK1200.1;3;51.43.11.03;004.42.26.74;51.43.1838;004.42.4457;1;spits;4;Groen;#;Niet toegewezen;1;Kegel, punt naar boven;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;4,707428;51,719731;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
